frame,time_sec,vehicle_like_blobs
29,0.97,5
58,1.94,5
87,2.9,6
116,3.87,4
145,4.84,4
174,5.81,5
203,6.77,3
232,7.74,20
261,8.71,17
290,9.68,17
319,10.64,10
348,11.61,20
377,12.58,18
406,13.55,21
435,14.51,19
464,15.48,12
493,16.45,3
522,17.42,7
551,18.39,2
580,19.35,1
609,20.32,1
638,21.29,1
667,22.26,5
696,23.22,1
725,24.19,2
754,25.16,2
783,26.13,2
812,27.09,10
841,28.06,1
870,29.03,2
899,30.0,0
928,30.96,2
957,31.93,4
986,32.9,1
1015,33.87,0
1044,34.83,3
1073,35.8,7
1102,36.77,2
1131,37.74,4
1160,38.71,0
1189,39.67,0
1218,40.64,1
1247,41.61,4
1276,42.58,4
1305,43.54,2
1334,44.51,2
1363,45.48,2
1392,46.45,7
1421,47.41,2
1450,48.38,5
1479,49.35,1
1508,50.32,3
1537,51.28,6
1566,52.25,4
1595,53.22,4
1624,54.19,2
1653,55.16,5
1682,56.12,3
1711,57.09,5
1740,58.06,8
1769,59.03,17
1798,59.99,4
1827,60.96,3
1856,61.93,3
1885,62.9,6
1914,63.86,5
1943,64.83,8
1972,65.8,7
2001,66.77,2
2030,67.73,2
2059,68.7,3
2088,69.67,6
2117,70.64,4
2146,71.6,1
2175,72.57,3
2204,73.54,3
2233,74.51,0
2262,75.48,1
2291,76.44,3
2320,77.41,3
2349,78.38,2
2378,79.35,3
2407,80.31,1
2436,81.28,2
2465,82.25,3
2494,83.22,3
2523,84.18,2
2552,85.15,1
2581,86.12,4
2610,87.09,4
