vehicle_id,time_sec,direction,cx,cy
13,1.13,UP,1007,358
8,1.37,UP,749,358
12,2.04,UP,860,359
18,2.14,DOWN,343,360
19,2.44,UP,794,349
21,3.14,UP,920,360
24,3.47,UP,1006,359
23,3.74,UP,845,360
25,3.94,UP,797,359
27,4.1,UP,992,358
34,4.9,UP,969,358
37,4.94,DOWN,419,360
31,5.21,UP,839,358
38,5.34,DOWN,240,360
41,5.67,UP,994,357
46,6.94,DOWN,376,361
45,7.04,UP,967,359
56,7.37,DOWN,1138,371
47,8.14,UP,865,360
114,9.21,UP,1173,360
128,9.81,DOWN,662,360
168,9.91,UP,246,360
163,10.01,UP,877,345
172,10.14,DOWN,530,361
186,10.41,UP,660,357
202,10.58,DOWN,370,367
203,10.58,DOWN,490,361
209,11.91,UP,996,359
220,12.31,UP,893,358
296,12.98,UP,1089,359
280,13.41,UP,911,359
316,13.41,UP,787,354
323,13.85,UP,1013,357
363,14.55,UP,880,355
384,14.71,UP,1110,350
379,14.88,UP,1034,354
397,15.48,UP,929,353
459,17.32,UP,1164,353
473,18.08,UP,961,359
496,19.45,UP,1061,359
497,20.45,DOWN,287,365
500,21.76,UP,819,360
504,21.99,DOWN,57,365
501,22.22,DOWN,438,363
509,22.39,UP,1074,353
506,22.42,UP,936,356
516,23.32,DOWN,439,362
517,23.46,DOWN,390,370
518,23.96,UP,953,352
527,24.49,UP,1222,360
538,26.13,UP,824,353
539,26.33,UP,958,352
548,26.99,DOWN,443,362
545,27.06,UP,961,355
555,27.13,DOWN,415,363
556,27.29,DOWN,310,366
557,27.39,DOWN,264,372
569,28.03,UP,969,352
577,29.06,UP,1146,350
576,29.2,UP,1062,355
582,30.36,UP,1116,351
588,30.7,UP,1234,360
591,31.8,DOWN,384,362
592,31.93,UP,840,358
596,31.97,UP,1245,353
595,32.07,DOWN,151,366
598,32.13,DOWN,84,367
608,34.27,UP,1100,358
610,35.04,DOWN,162,363
612,35.17,DOWN,63,364
617,35.27,DOWN,30,365
614,35.64,UP,960,358
618,35.8,DOWN,404,363
631,36.1,DOWN,148,365
629,36.34,DOWN,261,363
635,36.6,DOWN,421,366
644,37.77,UP,822,350
648,37.87,UP,1189,352
646,38.04,UP,1084,355
650,41.01,UP,1157,358
651,41.14,DOWN,274,365
659,41.67,UP,1217,354
661,42.11,UP,825,357
660,42.24,UP,806,358
662,42.68,UP,961,356
664,42.71,DOWN,153,362
665,43.34,UP,1193,359
666,43.94,UP,956,357
671,44.11,UP,1162,356
669,44.24,UP,1087,357
673,44.84,UP,1085,357
674,45.11,UP,1228,354
679,46.11,UP,1184,356
681,46.21,UP,1000,351
676,46.35,UP,956,360
683,46.58,UP,1089,356
693,46.91,UP,826,356
690,46.95,UP,979,352
699,48.18,DOWN,127,364
702,48.28,DOWN,35,364
701,48.35,DOWN,422,373
706,48.45,DOWN,400,388
710,48.55,DOWN,375,366
